Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
377,7.54,1,1,0,0,168.44309997558594,43.49505615234375,0.0,0.0
378,7.5600000000000005,1,0,0,0,116.94297790527344,0.0,0.0,0.0
379,7.58,1,0,0,0,86.13715362548828,0.0,0.0,0.0
380,7.6000000000000005,1,0,0,0,1.5121328830718994,0.0,0.0,0.0
381,7.62,0,0,0,0,0.0,0.0,0.0,0.0
382,7.640000000000001,0,0,0,0,0.0,0.0,0.0,0.0
383,7.66,0,0,0,0,0.0,0.0,0.0,0.0
384,7.68,0,0,0,0,0.0,0.0,0.0,0.0
385,7.7,1,0,0,0,135.60897827148438,0.0,0.0,0.0
386,7.72,1,1,0,1,104.67281341552734,23.153003692626953,0.0,234.82345581054688
387,7.74,1,0,0,1,56.11241912841797,0.0,0.0,132.9732666015625
388,7.76,0,0,0,1,0.0,0.0,0.0,61.42451095581055
389,7.78,0,0,0,1,0.0,0.0,0.0,47.45698547363281
390,7.8,0,0,0,1,0.0,0.0,0.0,47.64415740966797
